"%s was successfully added to your shopping cart.","%s ถูกหยิบใส่รถเข็นของคุณแล้ว"
"&laquo; Back to Billing Information","&laquo; กลับไปยังข้อมูลสำหรับออกใบเสร็จ"
"&laquo; Back to Select Addresses","&laquo; กลับไปยังหน้าสำหรับเลือกที่อยู่"
"&laquo; Back to Shopping Cart","&laquo; กลับไปยังรถเข็น"
"* Required Fields","* ฟิลด์ที่จำเป็น"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Add New Condition","Add New Condition"
"Add to Cart","หยิบใส่รถเข็น"
"Add to Compare","เพิ่มไปเปรียบเทียบ"
"Add to Wishlist","เพิ่มไปรายการโปรด"
"Address","ที่อยู่"
"Address %s of %s","ที่อยู่ %s ของ %s"
"After adding a product redirect to shopping cart","หลังจากเพิ่มสินค้าให้กลับไปยังรถเข็น"
"Allow Guest Checkout","อนุญาตให้ลูกค้าที่ไม่ได้ลงทะเบียนทำการสั่งซื้อได้"
"Already registered?","สำหรับลูกค้าที่สมัครสมาชิกแล้ว"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","ใช้คูปอง"
"Are you sure you would like to remove this item from the shopping cart?","คุณแน่ใจว่าต้องการลบสินค้านี้ออกจากรถเข็น?"
"Back","กลับ"
"Back to Shipping Information","กลับไปยังหน้าข้อมูลการจัดส่งสินค้า"
"Based on your selection, you may be interested in the following items:","จากการเลือกซื้อของคุณ คุณอาจสนใจสินค้าดังต่อไปนี้:"
"Billing Address","ที่อยู่สำหรับออกใบเสร็จ"
"Billing Information","ข้อมูลในการออกใบเสร็จ"
"Billing Information - %s","ข้อมูลการออกใบเสร็จ - %s"
"Can not add item to shopping cart","ไม่สามารถเพิ่มรายการสินค้าลงในรถเข็นได้"
"Can not apply coupon code.","ไม่สามารถนำรหัสคูปองไปใช้ได้"
"Can't open overview page","Can't open overview page"
"Cancel Coupon","ยกเลิกคูปอง"
"Cannot remove item","ไม่สามารถลบรายการสินค้าออก"
"Cannot update shopping cart","ไม่สามารถอัพเดทรถเข็นได้"
"Card Verification Number Visual Reference","การอ้างอิงถึงหมายเลขยืนยันบัตรเครดิตที่มองเห็น"
"Cart Subtotal:","ยอดรวม:"
"Change","Change"
"Change Billing Address","เปลี่ยนแปลงที่อยู่สำหรับออกใบเสร็จ"
"Checkbox text","Checkbox text"
"Checkout","สั่งซื้อสินค้า"
"Checkout Conditions","เงื่อนไขในการสั่งซื้อสินค้า"
"Checkout Options","ตัวเลือกการสั่งซื้อ"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","เงื่อนไขและข้อตกลงในการสั่งซื้อสินค้า"
"Checkout as Guest","สั่งซื้อโดยไม่สมัครสมาชิก"
"Checkout as a Guest or Register","สำหรับลูกค้าที่ไม่ได้เป็นสมาชิก"
"Checkout method","วิธีการสั่งซื้อสินค้า"
"Checkout Method","วิธีการสั่งซื้อสินค้า"
"Checkout with Multiple Addresses","ทำการสั่งซื้อด้วยที่อยู่หลายที่"
"City","เขต/อำเภอ"
"Click <a href="%s">here</a> to continue shopping.","คลิก <a href="%s">ที่นี่</a> เพื่อเลือกซื้อสินค้าต่อ"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","คลิก <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","ปิด"
"Company","บริษัท"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","สามารถแก้ไขรูปสินค้า"
"Confirm Password","ยืนยันรหัสผ่าน"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","ดำเนินการต่อ"
"Continue Shopping","เลือกซื้อสินค้าต่อ"
"Continue to Billing Information","ดำเนินการส่วนข้อมูลการออกใบเสร็จต่อ"
"Continue to Review Your Order","ทำการตรวจสอบคำสั่งซื้อของคุณต่อ"
"Continue to Shipping Information","ดำเนินการต่อในข้อมูลการจัดส่งสินค้า"
"Country","ประเทศ"
"Coupon code ""%s"" is not valid.","รหัสคูปอง ""%s"" ไม่ถูกต้อง"
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","ยกเลิกรหัสคูปองสำเร็จ."
"Create Billing Address","สร้างที่อยู่สำหรับออกใบเสร็จ"
"Create Shipping Address","สร้างที่อยู่สำหรับจัดส่งสินค้า"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","ปัญหาในการบันทึกข้อมูล"
"Default Billing","ค่าเริ่มต้นสำหรับออกใบเสร็จ"
"Default Shipping","ค่าเริ่มต้นการจัดส่งสินค้า"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","รหัสส่วนลด"
"Log In","เข้าสู่ระบบ"
"Display Cart Summary","แสดงสรุปรายละเอียดรถเข็น"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","แสดงจำนวนรายการสินค้า"
"Display number of items in cart","แสดงจำนวนรายการในรถเข็น"
"Easy access to your order history and status","เข้าถึงข้อมูลประวัติคำสั่งซื้อและสถานะคำสั่งซื้อต่างๆ ได้"
"Edit","แก้ไข"
"Edit Address","แก้ไขที่อยู่"
"Edit Billing Address","แก้ไขที่อยู่สำหรับออกใบเสร็จ"
"Edit Items","แก้ไขรายการสินค้า"
"Edit Shipping Address","แก้ไขที่อยู่สำหรับจัดส่งสินค้า"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","แก้ไขรถเข็นของคุณ"
"Email Address","อีเมล์"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Enter a New Address","ใส่ที่อยู่ใหม่"
"Enter your coupon code if you have one.","ใส่รหัสคูปอง (ถ้ามี)"
"Enter your destination to get a shipping estimate.","กรุณาใส่ปลายทางของคุณเพื่อประเมินค่าขนส่ง"
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","ประมาณค่าขนส่งและภาษี"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","ชำระเงินอย่างสะดวกและรวดเร็ว"
"Fax","โทรสาร"
"Forgot an Item?","ลืมรายการสินค้า?"
"Forgot your password?","ลืมรหัสผ่านของคุณ?"
"Get a Quote","เรียกข้อมูลอ้างอิง"
"Grand Total:","รวมทั้งหมด:"
"Grouped product image","กลุ่มรูปสินค้า"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","ข้อมูลไม่ถูกต้อง"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","วิธีการส่งสินค้าไม่ถูกต้อง"
"Items","รายการสินค้า"
"Load customer quote error","ข้อผิดพลาดในการโหลดคำอ้างอิงของลูกค้า"
"Loading next step...","กำลังโหลดขั้นตอนถัดไป..."
"Login","เข้าสู่ระบบ"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","อนุญาตจำนวนสูงสุดสำหรับส่งสินค้าหลายที่ %s"
"Move to Wishlist","ย้ายไปยังรายการโปรด"
"Move","ย้าย"
"My Account","บัญชีผู้ใช้งาน"
"My Cart","รถเข็นของฉัน"
"My Cart (%s item)","รถเข็นของฉัน (%s รายการ)"
"My Cart (%s items)","รถเข็นของฉัน (%s รายการ)"
"My Cart Link","ลิงค์รถเข็นของฉัน"
"New Address","ที่อยู่ใหม่"
"New Condition","New Condition"
"Order #","คำสั่งซื้อ #"
"Order Review","ตรวจสอบคำสั่งซื้อ"
"Order Success","สั่งซื้อสำเร็จแล้ว"
"Other items in your order","Other items in your order"
"Password","รหัสผ่าน"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","ข้อมูลการชำระเงิน"
"Payment Method","วีธีการชำระเงิน"
"Payment method is not defined","ไม่ได้ระบุวิธีการชำระเงิน"
"Place Order","ยืนยันคำสั่งซื้อ"
"Please <a href=""%s"">continue shopping</a>.","กรุณา <a href=""%s"">ดำเนินการซื้อต่อไป</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง ตัวอย่างเช่น 90602 หรือ 90602-1234."
"Please log in below:","กรุณาเขาสู่ระบบด้านล่าง:"
"Please select region, state or province","กรุณาเลือกรัฐหรือจังหวัด"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","กรุณาเลือกวิธีจัดส่งสินค้าสำหรับทุกที่อยู่"
"Price","ราคา"
"Proceed to Checkout","เข้าสู่ขั้นตอนการชำระเงิน"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Product does not exist","ไม่มีสินค้า"
"Qty","จำนวน"
"Quote Lifetime (days)","อ้างอิงเวลาตลอดการใช้งาน (วัน)"
"Recently added item(s)","รายการที่เพิ่มล่าสุด"
"Register","สมัครสมาชิก"
"Register and save time!","สมัครสมาชิกเพื่อประหยัดเวลาของคุณ!"
"Register to Create an Account","ลงทะเบียนเพื่อสมัครสมาชิก"
"Register with us for future convenience:","สมัครสมาชิกกับเราเพื่อความสะดวกในอนาคต:"
"Remove","ลบออก"
"Remove Item","ลบรายการสินค้าออก"
"Remove Product","ลบสินค้าออก"
"Remove item","Remove item"
"Review Order","ตรวจสอบคำสั่งซื้อ"
"Review Order - %s","ตรวจสอบคำสั่งซื้อ - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","บันทึกในสมุดที่อยู่"
"Select Address","เลือกที่อยู่"
"Select Addresses","เลือกที่อยู่"
"Select Shipping Method","เลือกวิธีการจัดส่งสินค้า"
"Clear Shopping Cart","ล้างรถเข็น"
"Select State/Province...","เลือก จังหวัด..."
"Select a billing address from your address book or enter a new address.","เลือกที่อยู่สำหรับออกใบเสร็จจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่่"
"Select a shipping address from your address book or enter a new address.","เลือกที่อยู่สำหรับจัดส่งสินค้าจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่"
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","ส่งไปยัง"
"Ship to Multiple Addresses","ส่งไปยังที่อยู่หลายที่"
"Ship to different address","ส่งไปยังที่อยู่อื่น"
"Ship to this address","ส่งไปยังที่อยู่นี้"
"Shipping Address","ที่อยู่สำหรับจัดส่งสินค้า"
"Shipping Information","ข้อมูลในการจัดส่งสินค้า"
"Shipping Method","วิธีการส่งสินค้า"
"Shipping Methods","วิธีการส่งสินค้า"
"Shipping method has not been selected yet","ยังไม่ได้เลือกวิธีการส่งสินค้า"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","จัดส่งไปยัง"
"Shopping Cart","รถเข็นสินค้า"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","รถเข็นยังว่างเปล่าอยู่"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","สินค้าบางรายการที่คุณต้องการมีจำนวนไม่เพียงพอกับที่คุณขอซื้อ"
"Some of the products you requested are unavailable","สินค้าที่คุณต้องการบางรายการไม่มีจำหน่าย"
"Sorry, Onepage Checkout is disabled.","ขอโทษด้วยค่ะ, Onepage Checkout ถูกปิดการใช้งาน."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","ขอโทษด้วยค่ะ, ลูกค้าที่ไม่ได้ลงทะเบียนไม่สามารถทำการสั่งซื้อได้ กรุณาทำการสั่งซื้อใหม่อีกครั้งหรือติดต่อเจ้าของร้าน"
"Sorry, no quotes are available for this order at this time.","ขออภัย, ไม่มีการอ้างอิงสำหรับคำสั่งซื้อนี้ที่ใช้ได้ขณะนี้"
"State/Province","จังหวัด"
"Status","สถานะ"
"Store View","มุมมองร้านค้า"
"Street Address","ที่อยู่"
"Street Address ","ที่อยู่"
"Submitting order information...","กำลังยืนยันข้อมูลคำสั่งซื้อ..."
"Subtotal","รวม"
"Telephone","โทรศัพท์"
"Terms and Conditions","เงื่อนไขและข้อตกลง"
"Terms and Conditions Information","เงื่อนไขและข้อตกลง"
"Terms and conditions","เงื่อนไขและข้อตกลง"
"Text","Text"
"Thank you for your purchase!","ขอบคุณที่ซื้อสินค้ากับเรา!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","มีสินค้า <a href=""%s""><strong>%s รายการ</strong></a>ในรถเข็น"
"There are <a href="%s">%s items</a> in your cart.","มีสินค้า <a href="%s">%s รายการ</a> ในรถเข็น"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","มีสินค้า <a href=""%s""><strong>1 รายการ</strong></a> ในรถเข็น"
"There is <a href="%s">1 item</a> in your cart.","มีสินค้า <a href="%s">1 รายการ</a> ในรถเข็น"
"There is already a customer registered using this email address","มีลูกค้าที่ลงทะเบียนโดยใช้อีเมล์นี้อยู่แล้ว"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists","This condition no longer exists"
"Total","รวม"
"Total:","ยอดรวม:"
"Total for this address","ราคารวมสำหรับที่อยู่นี้"
"Unit Price","ราคาต่อหน่วย"
"Update Qty &amp; Addresses","อัพเดท จำนวน &amp; ที่อยู่"
"Update Shopping Cart","อัพเดทรถเข็น"
"Update Total","อัพเดทยอดรวมทั้งหมด"
"Use Billing Address","ใช้ที่อยู่สำหรับออกใบเสร็จ"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","เรากำลังดำเนินการกับคำสั่งซื้อของคุณอยู่ คุณจะได้รับอีเมล์พร้อมรายละเอียดคำสั่งซื้อ และเมื่อเราจัดส่งสินค้าให้คุณ คุณจะได้รับอีเมล์อีกฉบับซึ่งจะมีลิงค์สำหรับติดตามความคืบหน้า"
"You have no items in your shopping cart.","รถเข็นยังว่าง"
"You will receive an order confirmation email with details of your order and a link to track its progress.","คุณจะได้รับอีเมล์ยืนยันการสั่งซื้อพร้อมรายละเอียดการสั่งซื้อและลิงค์สำหรับติดตามความคืบหน้าของการสั่งซื้อ"
"Your Checkout Progress","ความคืบหน้าในการสั่งซื้อของคุณ"
"Your order # is: %s","เลขที่คำสั่งซื้อของคุณ คือ: %s"
"Your order # is: %s.","เลขที่คำสั่งซื้อของคุณ คือ: %s"
"Your order # is: <a href=""%s"">%s</a>","เลขที่คำสั่งซื้อ: <a href=""%s"">%s</a>"
"Your order has been received","เราได้รับคำสั่งซื้อของคุณแล้ว"
"Your order has been received.","เราได้รับคำสั่งซื้อของคุณแล้ว"
"Your order number is ","เลขที่คำสั่งซื้อของคุณ คือ "
"Zip/Postal Code","รหัสไปรษณีย์"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","แบ่งโดยเครื่องหมาย "","""
"My Cart","รถเข็นของฉัน"
"You have no items in your shopping cart.","คุณยังไม่มีสินค้าในรถเข็น"
"Checkout","สั่งซื้อสินค้า"
"Shopping Cart is Empty","รถเข็นยังว่าง"
"View Cart","ดูรถเข็น"
"Please <a href=""%s"">continue shopping</a>.","กรุณา <a href=""%s"">เลือกซื้อสินค้าต่อ</a>"
"Zip/Postal Code","รหัสไปรษณีย์"
"State / Province","รัฐ / จังหวัด"
"Login to your Account","เข้าสู่ระบบ"
"Telephone","เบอร์โทรศัพท์"
"Create account for later use","ใช้ข้อมูลนี้เพื่อสมัครสมาชิก"
"Create an account for later use","ใช้ข้อมูลนี้เพื่อสมัครสมาชิก"
"Already registered? Click here to login","หากคุณเป็นสมาชิกอยู่แล้ว? กรุณาเข้าสู่ระบบ"
"Fill in the fields below to complete your purchase!","กรุณากรอกข้อมูลให้ครอบถ้วน!"
"Please enter your full address to obtain a shipping quote.","กรุณากรอกที่อยู่ให้ครบถ้วนแล้วระบบจะแสดงวิธีการจัดส่งสินค้า"
"Name & Address","ชื่อและที่อยู่"
"Review Your Order","ตรวจสอบคำสั่งซื้อ"
"Place Order Now","ยืนยันคำสั่งซื้อ"
"New Shipping Address","ที่อยู่ในการจัดส่งสินค้าใหม่"
"THE SHOPPING CART IS CURRENTLY EMPTY","รถเข็นสินค้ายังว่าง"
"Thank you for visiting","ขอบคุณลูกค้าทุกท่านสำหรับการเยี่ยมชมเว็บไซต์"
"If you are having issues with the shopping cart, <br />Please","ถ้ามีปัญหาเกี่ยวกับการสั่งซื้อ กรุณาติดต่อ"
"email support","อีเมล์ support"
"or call","หรือโทร"
"CONTINUE SHOPPING","เลือกซื้อสินค้าต่อ"
"Forgot Password?","ลืมรหัสผ่าน"
"Please enter your email below and we will send you a new password.","กรุณากรอกอีเมลของคุณด้านล่าง เราจะส่งรหัสผ่านใหม่ไปให้"
"Back to Login","กลับไปเข้าระบบ"
"CONTINUE SHOPPING","เลือกซื้อสินค้าต่อ"